seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec,sr_30,pr_30,sr_100,pr_100,sr_200,pr_200,sr_final,pr_final
2,gar_12,sub2,0,0,-1.0,1.0,154,0,26,0.0,3019.0,0.0,74.0,-3019.0,13.7,0.5612052730696798,0.5,0.4035895075931891,0.2916666666666667,0.0,0.0,0.0,0.0
29,gar_4,sub2,1,0,1.0,-1.0,236,32,0,5030.0,0.0,80.0,0.0,5030.0,29.0,0.5627240143369175,0.6428571428571429,0.487551867219917,0.5569620253164557,0.9054899235580264,0.875,1.0,1.0
5,gar_12,sub2,1,0,1.0,-1.0,231,20,0,3713.0,0.0,52.0,0.0,3713.0,15.1,0.5714285714285714,0.5555555555555556,0.6456361724500526,0.66,0.7980490377010282,0.7692307692307693,1.0,1.0
3,gar_12,sub2,0,0,-1.0,1.0,162,0,36,0.0,3156.0,0.0,96.0,-3156.0,25.2,0.5051546391752577,0.6,0.5030837004405286,0.41304347826086957,0.0,0.0,0.0,0.0
4,gar_12,sub2,1,0,1.0,-1.0,230,28,0,4615.0,0.0,64.0,0.0,4615.0,26.0,0.5384615384615384,0.5909090909090909,0.518491124260355,0.56,0.98710352039038,1.0,1.0,1.0
1,gar_12,sub2,0,0,-1.0,1.0,194,0,32,0.0,3834.0,0.0,92.0,-3834.0,36.8,0.5089285714285714,0.5428571428571428,0.4988235294117647,0.4673913043478261,0.0,0.0,0.0,0.0
6,gar_12,sub2,1,0,1.0,-1.0,178,37,0,6282.0,0.0,97.0,0.0,6282.0,21.6,0.6062176165803109,0.7333333333333333,0.7384026781444285,0.6067415730337079,1.0,1.0,1.0,1.0
8,gar_12,sub2,0,0,-1.0,1.0,137,0,24,0.0,3932.0,0.0,88.0,-3932.0,10.2,0.5102040816326531,0.44,0.2399103139013453,0.22093023255813954,0.0,0.0,0.0,0.0
7,gar_12,sub2,0,0,-1.0,1.0,162,0,30,0.0,2334.0,0.0,66.0,-2334.0,15.1,0.5122699386503068,0.5714285714285714,0.4232142857142857,0.4375,0.0,0.0,0.0,0.0
9,gar_12,sub2,1,0,1.0,-1.0,176,26,0,2149.0,0.0,46.0,0.0,2149.0,12.9,0.576530612244898,0.5333333333333333,0.7029804727646455,0.55,1.0,1.0,1.0,1.0
13,gar_12,sub2,1,0,1.0,-1.0,183,24,0,3280.0,0.0,52.0,0.0,3280.0,9.8,0.3220338983050847,0.6,0.8121546961325967,0.7307692307692307,1.0,1.0,1.0,1.0
10,gar_12,sub2,1,0,1.0,-1.0,182,34,0,6141.0,0.0,90.0,0.0,6141.0,24.0,0.5741935483870968,0.52,0.6665271966527196,0.6363636363636364,1.0,1.0,1.0,1.0
11,gar_12,sub2,1,0,1.0,-1.0,205,32,0,4723.0,0.0,80.0,0.0,4723.0,19.1,0.7567567567567568,0.8333333333333334,0.6556338028169014,0.6164383561643836,0.9939570277529096,1.0,1.0,1.0
14,gar_12,sub2,1,0,1.0,-1.0,167,31,0,4259.0,0.0,83.0,0.0,4259.0,18.5,0.5726495726495726,0.5555555555555556,0.621071270473661,0.6875,1.0,1.0,1.0,1.0
