seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec,sr_30,pr_30,sr_100,pr_100,sr_200,pr_200,sr_final,pr_final
0,dist_0.3,sub2,0,0,-1.0,1.0,113,0,24,0.0,2923.0,0.0,76.0,-2923.0,6.7,0.3898305084745763,0.41379310344827586,0.06497418244406196,0.0,0.0,0.0,0.0,0.0
27,prio_1.2,sub2,0,0,-1.0,1.0,166,0,32,0.0,1953.0,0.0,60.0,-1953.0,14.3,0.5409836065573771,0.3333333333333333,0.4344106463878327,0.5,0.0,0.0,0.0,0.0
29,prio_1.2,sub2,1,0,1.0,-1.0,192,24,0,3148.0,0.0,68.0,0.0,3148.0,13.0,0.5,0.5,0.6337741607324516,0.6976744186046512,1.0,1.0,1.0,1.0
28,prio_1.2,sub2,0,0,-1.0,1.0,181,0,32,0.0,2917.0,0.0,76.0,-2917.0,19.0,0.5869565217391305,0.5652173913043478,0.5012755102040817,0.5138888888888888,0.0,0.0,0.0,0.0
1,dist_0.3,sub2,0,0,-1.0,1.0,130,0,20,0.0,1861.0,0.0,60.0,-1861.0,10.6,0.5,0.47619047619047616,0.27117611212675197,0.36666666666666664,0.0,0.0,0.0,0.0
5,dist_0.3,sub2,0,0,-1.0,1.0,142,0,21,0.0,1283.0,0.0,40.0,-1283.0,8.7,0.36666666666666664,0.5,0.3662613981762918,0.41379310344827586,0.0,0.0,0.0,0.0
3,dist_0.3,sub2,1,0,1.0,-1.0,154,32,0,3049.0,0.0,64.0,0.0,3049.0,14.2,0.47575057736720555,0.6,0.6586183769282361,0.7213114754098361,1.0,1.0,1.0,1.0
26,prio_1.2,sub2,0,0,-1.0,1.0,234,0,32,0.0,3821.0,0.0,84.0,-3821.0,35.4,0.5661375661375662,0.5555555555555556,0.5452173913043479,0.5714285714285714,0.2619334135579623,0.13095238095238096,0.0,0.0
4,dist_0.3,sub2,1,0,1.0,-1.0,171,32,0,4507.0,0.0,76.0,0.0,4507.0,15.5,0.5673076923076923,0.7058823529411765,0.6501766784452296,0.6527777777777778,1.0,1.0,1.0,1.0
7,dist_0.3,sub2,0,0,-1.0,1.0,159,0,31,0.0,2595.0,0.0,67.0,-2595.0,11.3,0.4431818181818182,0.25,0.34256055363321797,0.3275862068965517,0.0,0.0,0.0,0.0
